,Unnamed: 0,Unnamed: 0.1,mode,price,catch,pbeach,ppier,pboat,pcharter,cbeach,cpier,cboat,ccharter,income,log_income,pdiff
0,0,1,charter,182.93,0.5391,157.93,157.93,157.93,182.93,0.0678,0.0503,0.2601,0.5391,7083.3317,8.86549965509619,25.0
1,1,2,charter,34.534,0.4671,15.114,15.114,10.534,34.534,0.1049,0.0451,0.1574,0.4671,1249.9998,7.130898670296334,19.419999999999998
2,2,3,boat,24.334,0.2413,161.874,161.874,24.334,59.334,0.5333,0.4522,0.2413,1.0266,3749.9999,8.22951109229779,137.54
3,3,4,pier,15.134,0.0789,15.134,15.134,55.93,84.93,0.0678,0.0789,0.1643,0.5391,2083.3332,7.641724390062335,0.0
4,4,5,boat,41.514,0.1082,106.93,106.93,41.514,71.014,0.0678,0.0503,0.1082,0.324,4583.332,8.430181523517474,65.416
5,5,6,charter,63.934,0.3975,192.474,192.474,28.934,63.934,0.5333,0.4522,0.1665,0.3975,4583.332,8.430181523517474,128.54
6,6,7,beach,51.934,0.0678,51.934,51.934,191.93,220.93,0.0678,0.0789,0.1643,0.5391,8750.001,9.076809093637367,0.0
7,7,8,charter,56.714,0.0209,15.134,15.134,21.714,56.714,0.0678,0.0789,0.0102,0.0209,2083.3332,7.641724390062335,41.58
8,8,9,boat,34.914,0.0233,34.914,34.914,34.914,53.414,0.2537,0.1498,0.0233,0.0219,3749.9999,8.22951109229779,0.0
9,9,10,boat,28.314,0.0233,28.314,28.314,28.314,46.81399999999999,0.2537,0.1498,0.0233,0.0219,2916.6666,7.978196667826407,0.0
10,10,11,pier,34.914,0.0451,34.914,34.914,24.334,48.334,0.1049,0.0451,0.1574,0.4671,3749.9999,8.22951109229779,0.0
11,11,12,boat,16.722,0.2413,312.144,312.144,16.722,51.722,0.5333,0.4522,0.2413,1.0266,7083.3317,8.86549965509619,295.422
12,12,13,pier,17.862000000000005,0.0451,17.862000000000005,17.862000000000005,4.122,28.122,0.1049,0.0451,0.0023,0.0046,1249.9998,7.130898670296334,0.0
13,13,14,pier,15.134,0.0789,15.134,15.134,55.93,84.93,0.0678,0.0789,0.0014,0.0029,2083.3332,7.641724390062335,0.0
14,14,15,beach,74.514,0.2537,74.514,74.514,74.514,93.014,0.2537,0.1498,0.2339,0.6288,8750.001,9.076809093637367,0.0
15,15,16,pier,33.534,0.0789,33.534,33.534,123.93,152.93,0.0678,0.0789,0.1643,0.5391,5416.6667,8.59723590524362,0.0
16,16,17,beach,48.114,0.1049,48.114,48.114,33.534,57.534,0.1049,0.0451,0.1574,0.4671,5416.6667,8.59723590524362,0.0
17,17,18,pier,33.462,0.0079,33.462,33.462,7.722,31.722,0.1049,0.0079,0.0613,0.3087,2916.6666,7.978196667826407,0.0
18,18,19,boat,11.322,0.0361,211.344,211.344,11.322,46.322,0.5333,0.0069,0.0361,0.4216,4583.332,8.430181523517474,200.022
19,19,20,boat,11.322,0.1574,49.062,49.062,11.322,35.322,0.1049,0.0451,0.1574,0.4671,4583.332,8.430181523517474,37.739999999999995
20,20,21,charter,53.522,0.0058,345.744,345.744,18.522,53.522,0.5333,0.4522,0.0156,0.0058,7916.6663,8.976725474478886,292.22200000000004
21,21,22,charter,44.322,0.0046,88.06200000000003,88.06200000000003,20.322,44.322,0.1049,0.0451,0.0023,0.0046,8750.001,9.076809093637367,43.74000000000002
22,22,23,boat,15.134,0.1665,100.674,100.674,15.134,50.13399999999999,0.5333,0.4522,0.1665,0.3975,2083.3332,7.641724390062335,85.54
23,23,24,charter,43.734,0.3087,28.314,28.314,19.734,43.734,0.1049,0.0079,0.0613,0.3087,2916.6666,7.978196667826407,15.420000000000002
24,24,25,charter,69.32,0.6456,33.462,33.462,34.32,69.32,0.0678,0.0789,0.0559,0.6456,2916.6666,7.978196667826407,35.85799999999999
25,25,26,beach,67.78399999999999,0.5333,67.78399999999999,67.78399999999999,17.862000000000005,52.862,0.5333,0.4522,0.2413,1.0266,1249.9998,7.130898670296334,0.0
26,26,27,pier,50.32,0.0451,50.32,50.32,49.062,73.062,0.1049,0.0451,0.1574,0.4671,4583.332,8.430181523517474,0.0
27,27,28,boat,74.32,0.0897,72.462,72.462,74.32,109.32,0.0678,0.0789,0.0897,1.0905,7083.3317,8.86549965509619,1.8579999999999899
28,28,29,charter,45.534,0.0058,70.074,70.074,10.534,45.534,0.5333,0.4522,0.0156,0.0058,1249.9998,7.130898670296334,24.54
29,29,30,charter,54.734,0.0058,131.274,131.274,19.734,54.734,0.5333,0.4522,0.0156,0.0058,2916.6666,7.978196667826407,76.53999999999999
30,30,31,charter,43.734,0.0046,28.314,28.314,19.734,43.734,0.1049,0.0451,0.0023,0.0046,2916.6666,7.978196667826407,15.420000000000002
31,31,32,charter,35.322,0.3087,49.062,49.062,11.322,35.322,0.1049,0.0079,0.0613,0.3087,4583.332,8.430181523517474,13.739999999999995
32,32,33,boat,7.722,0.0023,33.462,33.462,7.722,31.722,0.1049,0.0451,0.0023,0.0046,2916.6666,7.978196667826407,25.740000000000002
33,33,34,beach,9.522,0.0678,9.522,9.522,78.292,107.292,0.0678,0.0789,0.0014,0.0029,3749.9999,8.22951109229779,0.0
34,34,35,pier,25.662,0.0079,25.662,25.662,5.9220000000000015,29.922,0.1049,0.0079,0.0613,0.3087,2083.3332,7.641724390062335,0.0
35,35,36,charter,42.722,0.4216,144.144,144.144,7.722,42.722,0.5333,0.0069,0.0361,0.4216,2916.6666,7.978196667826407,101.422
36,36,37,pier,120.004,0.0789,120.004,120.004,252.64,281.64,0.0678,0.0789,0.0014,0.0029,12499.998,9.43348376329038,0.0
37,37,38,boat,80.608,0.0531,25.648000000000003,25.648000000000003,80.608,105.608,0.2537,0.1498,0.0531,0.0052,1249.9998,7.130898670296334,54.96
38,38,39,charter,60.004,0.0058,115.808,115.808,25.004,60.004,0.5333,0.4522,0.0156,0.0058,2083.3332,7.641724390062335,55.80400000000001
